"DOPLogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","PreyLengthComments"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",2.80,,4.5e-04,,,,"Probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.00,,8.0e-04,,,,"Probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.30,,,,,,"NI, NW, probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.20,,,,,,"NI, NW, probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",2.50,,,,,,"NI, NW, probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.90,,,,,,"NI, NW, probably G. lacustris"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",2.90,,5.2e-04,,,,"Probably G. daiberi"
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.30,,6.7e-04,,,,
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.00,,3.6e-04,,,,
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",2.10,,2.5e-04,,,,
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.10,,7.2e-04,,,,
45,"EDSM","18-11-LSR01",10/10/2017 0:00:00,"E45","Gammarus type","Gammarus spp.",3.20,,7.8e-04,,,,
