PreyCategory,LifeStage,PreyCategoryDefinition,RoutinelyMeasured,Phylum,Class,Order,Family,Genus,Species,MeasuredWetWeight,CalculatedWetWeight,CarbonWeight,DryWeight,Reference,StartDate,EndDate,Comments
Limnoithona copepodid,Copepodid,Limnoithona spp juveniles,N,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae ,Limnoithona ,,,0.5,0.0275,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Limnoithona spp,Adult,Limnoithona spp adults,N,Arthropoda,Copepoda,Cyclopoida,Cyclopettidae ,Limnoithona ,,5.6,,,,"Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2011,,
Longfin Smelt,All,"Longfin Smelt, all age classes",Y,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,thaleichthys,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Neomysis kadiakensis,All,"Neomysis kadiakensis, all age classes",Y,Arthropoda,Malacostraca,Mysida ,Mysidae,Neomysis,kadiakensis,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Neomysis mercedis,All,"Neomysis mercedis, all age classes",Y,Arthropoda,Malacostraca,Mysida ,Mysidae,Neomysis,mercedis,NA,,,,Based on length-weight equation. See prey length-weight equation lookup table,2011,,
Nippoleucon hinumensis,All,"Nippoleucon hinumensis, all age classes. Added category July 2020. Before that time this species was listed in the prey category ""Cumaceans""",Y,Arthropoda,Malacostraca,Cumacea,Leuconidae,Nippoleucon,hinumensis,330.7,,,,"From Cumacean; Slater et al 2019. Patterns of zooplankton consumption by juvenile and adult Delta Smelt (Hypomesus transpacificus). In: Schultz A, editor. Directed Outflow Project Technical Report 1. U.S. Bureau of Reclamation, Bay-Delta Office, Mid-Pacific Region, Sacramento, CA. November 2019. 1:9–54",2020,,
Oithona copepodid,Copepodid,Oithona spp juveniles,N,Arthropoda,Copepoda,Cyclopoida,Oithonidae ,Oithona,spp,,1.1,0.0575,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Oithona davisae,Adult,Oithona davisae adults,N,Arthropoda,Copepoda,Cyclopoida,Oithonidae ,Oithona,davisae,,4.2,0.23,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Oithona similis,Adult,Oithona similis adults ,N,Arthropoda,Copepoda,Cyclopoida,Oithonidae ,Oithona,similis,,9.2,0.5,,Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
Oithona spp,Adult,Oithona adults that cannot be identified to species,N,Arthropoda,Copepoda,Cyclopoida,Oithonidae ,Oithona,spp,,6.6,,,Average from Oithona davisae and similis. Converted from carbon weight from Kimmerer 2006. Response of anchovies dampens effects of the invasive bivalve Corbula amurensis on the San Francisco Estuary foodweb. Mar Ecol Prog Ser. 324: 207–218,2011,,
