"UniqueID","DietStudy","LogNumber","Project","Station","Date","SerialNumber","PreyCategory","PreyLengthSpecies","PreyLength","LengthEstimate","PreyWeight","EyeDiameter","PreyAntennaLength","PreySex","Comments"
"DOP 0039 EDSM 2017-10-10 18-11-LSR01 E39","DOP","0039","EDSM","18-11-LSR01",2017-10-10,"E39","Gammarus type","Unid Gammaroidea",4.3,"G",NA,NA,NA,"","NM, NW, eye NM"
"DOP 0039 EDSM 2017-10-10 18-11-LSR01 E39","DOP","0039","EDSM","18-11-LSR01",2017-10-10,"E39","Corophium type","A. spinicorne",4,"",NA,NA,3.2,"F","NW"
"DOP 0039 EDSM 2017-10-10 18-11-LSR01 E39","DOP","0039","EDSM","18-11-LSR01",2017-10-10,"E39","Corophium type","A. spinicorne",2.4,"",NA,NA,1.5,"F","NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type","Gammarus spp",3.7,"",0.00043,NA,NA,"","Possibly G. lacustris"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type",NA,1.8,"",NA,NA,NA,"","NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type","Gammarus spp",2.7,"",NA,NA,NA,"","NI, NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type","Gammarus spp",2.5,"",NA,NA,NA,"","NI, NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type","Gammarus spp",4.4,"",NA,NA,NA,"","NI, NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type","Gammarus spp",2.7,"G",NA,NA,NA,"","~2.7 mm but NM, NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type","Gammarus spp",2.7,"G",NA,NA,NA,"","NM, NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Gammarus type","Unid Gammarus type",3.2,"S",NA,NA,NA,"","NM, NW"
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Corophium type","A. spinicorne",2.7,"",0.00043,NA,2.3,"F",""
"DOP 0040 EDSM 2017-10-10 18-11-LSR01 E40","DOP","0040","EDSM","18-11-LSR01",2017-10-10,"E40","Unid amphipod",NA,1.9,"S",NA,NA,NA,"","NM"
"DOP 0041 EDSM 2017-10-10 18-11-LSR01 E41","DOP","0041","EDSM","18-11-LSR01",2017-10-10,"E41","Gammarus type","Gammarus spp",3.7,"S",NA,NA,NA,"","NM, NW, eye NM, back 1/3 only, probably G. lacustris"
"DOP 0042 EDSM 2017-10-10 18-11-LSR01 E42","DOP","0042","EDSM","18-11-LSR01",2017-10-10,"E42","Corophium type","A. spinicorne",3.2,"",NA,NA,NA,"","NW, A2 NM"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type","Unid Gammaroidea",3.2,"S",NA,NA,NA,"","NM, NW, eye NM, head only"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type","Unid Gammaroidea",3.2,"S",NA,NA,NA,"","NM, NW, eye NM, head only"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type","Gammarus spp",2.7,"",NA,NA,NA,"","NI, NW"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type",NA,1.9,"",NA,NA,NA,"","NW"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type",NA,2,"",NA,NA,NA,"","NI"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type",NA,1.9,"G",NA,NA,NA,"","NM"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type",NA,2,"G",NA,NA,NA,"","NM"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type",NA,1.9,"G",NA,NA,NA,"","NM"
"DOP 0044 EDSM 2017-10-10 18-11-LSR01 E44","DOP","0044","EDSM","18-11-LSR01",2017-10-10,"E44","Gammarus type","Gammarus spp",3.3,"",NA,NA,NA,"","NW, probably G. lacustris"
